expenditure_date,committee_name,expense_category,payee_name,address,payee_type,amount,expense_purpose
2021-09-29,Jennings  J. B. Friends Of,Media,SquareSpace,225 Varick Street  12th floor  New York  New York 10014,Business/Group/Organization,27.56,Media - Website Development
2021-10-29,Jennings  J. B. Friends Of,Media,SquareSpace,225 Varick Street  12th floor  New York  New York 10014,Business/Group/Organization,27.56,Media - Website Development
2021-11-24,Jennings  J. B. Friends Of,Media,SquareSpace,225 Varick Street  12th floor  New York  New York 10014,Business/Group/Organization,20,Media - Website Development
2021-11-29,Jennings  J. B. Friends Of,Media,SquareSpace,225 Varick Street  12th floor  New York  New York 10014,Business/Group/Organization,27.56,Media - Website Development
2021-11-30,Jennings  J. B. Friends Of,Media,Keen360 Inc.,1150 1st Avenue  Suite 501  King Of Prussia  Pennsylvania 19406,Business/Group/Organization,567,Media - Website Development
2021-12-29,Jennings  J. B. Friends Of,Media,SquareSpace,225 Varick Street  12th floor  New York  New York 10014,Business/Group/Organization,27.56,Media - Website Development
2022-05-05,Montgomery Co. Career Firefighters Assn. Local 1664 PAC,Media,Kenefick Communications,2803 Lake View Drive  Annapolis  Maryland 21403,Business/Group/Organization,1666.66,Consulting Fees - Media
2022-05-05,Montgomery Co. Career Firefighters Assn. Local 1664 PAC,Media,Progressive Way LLC,803 Sligo Creek Parkway  Takoma Park  Maryland 20912,Business/Group/Organization,2500,Consulting Fees - Media
2022-05-20,Montgomery Co. Career Firefighters Assn. Local 1664 PAC,Media,Progressive Way LLC,803 Sligo Creek Parkway  Takoma Park  Maryland 20912,Business/Group/Organization,2500,Consulting Fees - Media
2022-05-02,Jianning   Zeng Friends of Dr.,Media,GOOGLE,1600 Amphiteatre Parkway  Mountain View  California 94043,Business/Group/Organization,37.27,Online Advertising
2020-11-13,Walsh  Liz (Elizabeth) Committee to Elect,Media,BbsConsulting,3702 Meadowvale Rd  Ellicott City  Maryland 21042,Business/Group/Organization,600,Consulting Fees - Media
2021-04-19,Jones  Steven R. for Calvert County Commissioner,Media,Calvert Signs,5240 Cutter Ct  Prince Frederick  Maryland 20678,Business/Group/Organization,25,Graphic Design
2021-05-14,Jones  Steven R. for Calvert County Commissioner,Media,Calvert Signs,5240 Cutter Ct  Prince Frederick  Maryland 20678,Business/Group/Organization,367,Billboards / Outdoor Advertising
2021-06-30,Boyle-Tsottles  Jessica Friends of,Media,Kristin - McMahon,2116 Givenswood Drive  -  Fallston  Harford  Maryland 21047,Individual,775,Media - Website Development
2021-10-04,Boyle-Tsottles  Jessica Friends of,Media,Kristin - McMahon,2116 Givenswood Drive  -  Fallston  Harford  Maryland 21047,Individual,162.5,Media - Website Development
2021-10-28,Boyle-Tsottles  Jessica Friends of,Media,Kristin - McMahon,2116 Givenswood Drive  -  Fallston  Harford  Maryland 21047,Individual,65,Media - Website Development
2021-11-29,Jones  Steven R. for Calvert County Commissioner,Media,Calvert Signs,5240 Cutter Ct  Prince Frederick  Maryland 20678,Business/Group/Organization,614.8,Billboards / Outdoor Advertising
2021-10-29,Jones  Steven R. for Calvert County Commissioner,Media,Calvert Signs,5240 Cutter Ct  Prince Frederick  Maryland 20678,Business/Group/Organization,212,Billboards / Outdoor Advertising
2021-08-27,Jones  Steven R. for Calvert County Commissioner,Media,Patuxent Printing,621 Keith Lane  Owings  Maryland 20736,Business/Group/Organization,829.95,Billboards / Outdoor Advertising
2021-08-27,Jones  Steven R. for Calvert County Commissioner,Media,Calvert Signs,5240 Cutter Ct  Prince Frederick  Maryland 20678,Business/Group/Organization,318,Billboards / Outdoor Advertising
2021-06-25,Colvin  Eric Voters for,Media,ERIC SCOTT  COLVIN,44750 SPRINGER ROAD  VALLEY LEE  Maryland 20692,Self (Candidate),178.2,Media - Website Development
2021-07-19,Colvin  Eric Voters for,Media,ERIC SCOTT  COLVIN,44750 SPRINGER ROAD  VALLEY LEE  Maryland 20692,Self (Candidate),360,Media - Website Development
2021-01-21,Glassman  Barry Friends Of,Media,Renegade Productions  Inc.,10950 Gilroy Road  Suite J  Hunt Valley  Maryland 21031,Business/Group/Organization,26913.31,Consulting Fees - General
2021-02-16,Glassman  Barry Friends Of,Media,Renegade Productions  Inc.,10950 Gilroy Road  Suite J  Hunt Valley  Maryland 21031,Business/Group/Organization,26913.31,Consulting Fees - General
2021-10-14,Colvin  Eric Voters for,Media,ERIC SCOTT  COLVIN,44750 SPRINGER ROAD  VALLEY LEE  Maryland 20692,Self (Candidate),249,Newspaper
2021-10-31,Colvin  Eric Voters for,Media,ERIC SCOTT  COLVIN,44750 SPRINGER ROAD  VALLEY LEE  Maryland 20692,Self (Candidate),52,Online Advertising
2021-07-01,Glassman  Barry Friends Of,Media,Facebook  Inc,1 Facebook Way  Menlo Park  California 94025,Business/Group/Organization,153.39,Online Advertising
2021-08-02,Glassman  Barry Friends Of,Media,Facebook  Inc.,1 Facebook Way  Menlo Park  California 94025,Business/Group/Organization,87.15,Online Advertising
2021-09-02,Glassman  Barry Friends Of,Media,Facebook  Inc.,1 Facebook Way  Menlo Park  California 94025,Business/Group/Organization,149.53,Online Advertising
2021-08-29,Glassman  Barry Friends Of,Media,Allsign Products,200 N. Tollgate Road  PO Box 986  Bel Air  Maryland 21014,Business/Group/Organization,115,Graphic Design
2021-10-04,Glassman  Barry Friends Of,Media,Facebook  Inc.,1 Facebook Way  Menlo Park  California 94025,Business/Group/Organization,183.29,Online Advertising
2021-09-30,Glassman  Barry Friends Of,Media,Maryland Federation of Republican Women,P.O. Box 6040  Annapolis  Maryland 21401,Non-Profit Organization,300,Book/Brochure Advertising
2021-12-01,Glassman  Barry Friends Of,Media,Facebook  Inc.,1 Facebook Way  Menlo Park  California 94025,Business/Group/Organization,520.98,Online Advertising
2022-01-03,Glassman  Barry Friends Of,Media,Facebook  Inc.,1 Facebook Way  Menlo Park  California 94025,Business/Group/Organization,232.07,Online Advertising
2021-09-16,Leadbetter  Shannon Friends of,Media,GoDaddy Operating Company,2155 E. GoDaddy Way  Tempe  Arizona 85284,Business/Group/Organization,47.66,Online Advertising
2021-09-20,Leadbetter  Shannon Friends of,Media,Wix.com,40 Namal  Tel Aviv  ISRAEL,Business/Group/Organization,138,Media - Website Development
2021-08-08,Cox  Richard for Sheriff,Media,WIX.COM,Premium Plan  New York  New York 34527,Business/Group/Organization,162,Online Advertising
2021-02-25,Cox  Richard for Sheriff,Media,Squarespaces Inc.,SquareSpace.com  New York  New York 01234,Business/Group/Organization,20,Online Advertising
2021-12-13,Cox  Richard for Sheriff,Media,Anne Marie Gardens,13470 Dowell Road  Solomons  Maryland 20688,Business/Group/Organization,2000,Billboards / Outdoor Advertising
2021-12-07,Cox  Richard for Sheriff,Media,APG Media Chesapeake,29088 Air Park Drive  Easton  Maryland 21601,Business/Group/Organization,445,Online Advertising
2022-06-06,Ali  Saqib Friends of,Media,Meta,1 Hacker Way  Menlo Park  California 94025,Business/Group/Organization,43.78,Online Advertising
2022-06-07,Ali  Saqib Friends of,Media,Meta,1 Hacker Way  Menlo Park  California 94025,Business/Group/Organization,35.35,Online Advertising
2021-01-22,Represent Maryland PAC,Media,The Washington Post Company,1150 15th St. NW  Washington  District Of Columbia 20071,Business/Group/Organization,10,Newspaper
2021-02-19,Represent Maryland PAC,Media,The Washington Post Company,1150 15th St. NW  Washington  District Of Columbia 20071,Business/Group/Organization,10,Newspaper
2021-03-19,Represent Maryland PAC,Media,The Washington Post Company,1150 15th St. NW  Washington  District Of Columbia 20071,Business/Group/Organization,10.6,Newspaper
2021-04-16,Represent Maryland PAC,Media,The Washington Post Company,1150 15th St. NW  Washington  District Of Columbia 20071,Business/Group/Organization,10.6,Newspaper
2021-05-14,Represent Maryland PAC,Media,The Washington Post Company,1150 15th St. NW  Washington  District Of Columbia 20071,Business/Group/Organization,10.6,Newspaper
2021-06-11,Represent Maryland PAC,Media,The Washington Post Company,1150 15th St. NW  Washington  District Of Columbia 20071,Business/Group/Organization,10.6,Newspaper
